series_id,series_length,series_descrip
hrhhid,15,HOUSEHOLD IDENTIFIER   (Part 1);
hrmonth,2,MONTH OF INTERVIEW;
hryear4,4,YEAR OF INTERVIEW;
hurespli,2,LINE NUMBER OF THE CURRENT;
hufinal,3,FINAL OUTCOME CODE;
huspnish,2,IS SPANISH THE ONLY LANGUAGE SPOKEN;
hetenure,2,ARE YOUR LIVING QUARTERS...;
hehousut,2,TYPE OF HOUSING UNIT;
hetelhhd,2,IS THERE A TELEPHONE IN THIS;
hetelavl,2,IS THERE A TELEPHONE ELSEWHERE ON;
hephoneo,2,IS A TELEPHONE INTERVIEW ACCEPTABLE?;
hefaminc,2,FAMILY INCOME;
hutypea,2,TYPE A NONINTERVIEW REASON;
hutypb,2,TYPE B NON-INTERVIEW REASON;
hutypc,2,TYPE C NON-INTERVIEW REASON;
hwhhwgt,10,HOUSEHOLD WEIGHT;
hrintsta,2,INTERVIEW STATUS;
hrnumhou,2,TOTAL NUMBER OF PERSONS LIVING;
hrhtype,2,HOUSEHOLD TYPE;
hrmis,2,MONTH-IN-SAMPLE;
huinttyp,2,TYPE OF INTERVIEW;
huprscnt,2,NUMBER OF ACTUAL AND;
hrlonglk,2,LONGITUDINAL LINK INDICATOR;
hrhhid2,5,HOUSEHOLD IDENTIFIER (part 2);
hwhhwtln,2,Line number for household weight
fill1,1,FILLER
hubus,2,DOES ANYONE IN THIS HOUSEHOLD;
hubusl1,2,ENTER LINE NUMBER;
hubusl2,2,See BUSL1;
hubusl3,2,See BUSL1;
hubusl4,2,See BUSL1;
gereg,2,REGION;
gestcen,2,CENSUS STATE CODE;
gestfips,2,FEDERAL INFORMATION;
fill2,1,FILLER
gtcbsa,5,Metropolitan CBSA FIPS CODE;
gtco,3,FIPS COUNTY CODE;
gtcbsast,1,PRINCIPAL CITY/BALANCE STATUS;
gtmetsta,1,METROPOLITAN STATUS;
gtindvpc,1,INDIVIDUAL PRINCIPAL CITY;
gtcbsasz,1,Metropolitan Area (CBSA) SIZE;
gtcsa,3,Consolidated Statistical Area (CSA) FI;
fill3,3,FILLER
proldrrp,2,RELATIONSHIP TO REFERENCE;
pupelig,2,INTERVIEW STATUS OF EACH PERSON;
perrp,2,RELATIONSHIP TO REFERENCE PERSON;
peparent,2,LINE NUMBER OF PARENT;
prtage,2,PERSONS AGE;
prtfage,1,TOP CODE FLAG FOR AGE;
pemaritl,2,MARITAL STATUS;
pespouse,2,LINE NUMBER OF SPOUSE;
pesex,2,SEX;
peafever,2,DID YOU EVER SERVE ON ACTIVE;
fill3,2,FILLER
peafnow,2,ARE YOU NOW IN THE ARMED FORCES;
peeduca,2,HIGHEST LEVEL OF SCHOOL;
ptdtrace,2,RACE;
prdthsp,2,DETAILED HISPANIC      ORIGIN GROUP;
puchinhh,2,CHANGE IN HOUSEHOLD COMPOSITION;
fill4,2,FILLER
pulineno,2,PERSON'S LINE NUMBER;
fill5,2,FILLER
prfamnum,2,FAMILY NUMBER RECODE;
prfamrel,2,FAMILY RELATIONSHIP RECODE;
prfamtyp,2,FAMILY TYPE RECODE;
pehspnon,2,HISPANIC OR NON-HISPANIC;
prmarsta,2,MARITAL STATUS BASED ON;
prpertyp,2,TYPE OF PERSON RECORD RECODE;
penatvty,3,COUNTRY OF BIRTH;
pemntvty,3,MOTHER'S COUNTRY OF BIRTH;
pefntvty,3,FATHER'S COUNTRY OF BIRTH;
prcitshp,2,CITIZENSHIP STATUS;
prcitflg,2,CITIZENSHIP ALLOCATION FLAG;
prinusyr,2,IMMIGRANT'S YEAR OF ENTRY;
puslfprx,2,LABOR FORCE INFORMATION COLLECTED;
pemlr,2,MONTHLY LABOR FORCE RECODE;
puwk,2,"LAST WEEK, DID YOU DO ANY WORK;"
pubus1,2,"LAST WEEK, DID YOU DO ANY;"
pubus2ot,2,DO YOU RECEIVE ANY PAYMENTS;
pubusck1,2,CHECK ITEM 1;
pubusck2,2,CHECK ITEM 2;
pubusck3,2,CHECK ITEM 3;
pubusck4,2,CHECK ITEM 4;
puretot,2,RETIREMENT STATUS;
pudis,2,DISABILITY STATUS;
peret1,2,"DO YOU CURRENTLY WANT A JOB, EITHER;"
pudis1,2,DOES YOUR DISABILITY PREVENT YOU FROM;
pudis2,2,DO YOU HAVE A DISABILITY THAT PREVENTS;
puabsot,2,LAST WEEK DID YOU HAVE A JOB;
pulay,2,"LAST WEEK, WERE YOU ON LAYOFF;"
peabsrsn,2,WHAT IS THE MAIN REASON YOU;
peabspdo,2,ARE YOU BEING PAID BY YOUR;
pemjot,2,DO YOU HAVE MORE THAN ONE JOB?;
pemjnum,2,"ALTOGETHER, HOW MANY JOBS;"
pehrusl1,2,HOW MANY HOURS PER WEEK DO YOU;
pehrusl2,2,HOW MANY HOURS PER WEEK DO YOU;
pehrftpt,2,DO YOU USUALLY WORK 35 HOURS OR;
pehruslt,3,SUM OF HRUSL1 AND HRUSL2.;
pehrwant,2,DO YOU WANT TO WORK A FULL-TIME;
pehrrsn1,2,WHAT IS YOUR MAIN REASON FOR;
pehrrsn2,2,WHAT IS THE MAIN REASON YOU DO NOT;
pehrrsn3,2,WHAT IS THE MAIN REASON YOU WORKED;
puhroff1,2,"LAST WEEK, DID YOU LOSE OR TAKE;"
puhroff2,2,HOW MANY HOURS DID YOU TAKE OFF?;
puhrot1,2,"LAST WEEK, DID YOU WORK ANY;"
puhrot2,2,HOW MANY ADDITIONAL HOURS;
pehract1,2,"LAST WEEK, HOW MANY HOURS DID YOU;"
pehract2,2,"LAST WEEK, HOW MANY HOURS DID;"
pehractt,3,SUM OF PEHRACT1 AND PEHRACT2.;
pehravl,2,"LAST WEEK, COULD YOU HAVE WORKED;"
fill6,5,FILLER
puhrck1,2,CHECK ITEM 1;
puhrck2,2,CHECK ITEM 2;
puhrck3,2,CHECK ITEM 3;
puhrck4,2,CHECK ITEM 4;
puhrck5,2,CHECK ITEM 5;
puhrck6,2,CHECK ITEM 6;
puhrck7,2,CHECK ITEM 7;
puhrck12,2,CHECK ITEM 12;
pulaydt,2,HAS YOUR EMPLOYER GIVEN YOU A DATE;
pulay6m,2,HAVE YOU BEEN GIVEN ANY INDICATION;
pelayavl,2,COULD YOU HAVE RETURNED TO WORK;
pulayavr,2,WHY IS THAT?;
pelaylk,2,EVEN THOUGH YOU ARE TO BE CALLED BACK;
pelaydur,3,DURATION OF LAYOFF;
pelayfto,2,FT/PT STATUS OF JOB FROM WHICH;
pulayck1,2,CHECK ITEM 1;
pulayck2,2,CHECK ITEM 2;
pulayck3,2,CHECK ITEM 3;
pulk,2,HAVE YOU BEEN DOING ANYTHING TO FIND;
pelkm1,2,WHAT ARE ALL OF THE THINGS YOU HAVE;
pulkm2,2,ANYTHING ELSE? (SECOND METHOD);
pulkm3,2,SAME AS PULKM2 (THIRD METHOD);
pulkm4,2,SAME AS PULKM2 (FOURTH METHOD);
pulkm5,2,SAME AS PULKM2 (FIFTH METHOD);
pulkm6,2,SAME AS PULKM2 (SIXTH METHOD);
pulkdk1,2,YOU SAID YOU HAVE BEEN TRYING TO;
pulkdk2,2,ANYTHING ELSE? (SECOND METHOD);
pulkdk3,2,SAME AS PULKDK2 (THIRD METHOD);
pulkdk4,2,SAME AS PULKDK2 (FOURTH METHOD);
pulkdk5,2,SAME AS PULKDK2 (FIFTH METHOD);
pulkdk6,2,SAME AS PULKDK2 (SIXTH METHOD);
pulkps1,2,CAN YOU TELL ME MORE ABOUT WHAT YOU;
pulkps2,2,ANYTHING ELSE? (SECOND METHOD);
pulkps3,2,SAME AS PULKPS2 (THIRD METHOD);
pulkps4,2,SAME AS PULKPS2 (FOURTH METHOD);
pulkps5,2,SAME AS PULKPS2 (FIFTH METHOD);
pulkps6,2,SAME AS PULKPS2 (SIXTH METHOD);
pelkavl,2,"LAST WEEK, COULD YOU HAVE STARTED;"
pulkavr,2,WHY IS THAT?;
pelkll1o,2,"BEFORE YOU STARTED LOOKING FOR WORK,;"
pelkll2o,2,"DID YOU LOSE OR QUIT THAT JOB, OR WAS ;"
pelklwo,2,WHEN LAST WORKED;
pelkdur,3,DURATION OF JOB SEEKING;
pelkfto,2,FT/PT STATUS OF JOBSEEKER;
pedwwnto,2,"DO YOU CURRENTLY WANT A JOB,;"
pedwrsn,2,WHAT IS THE MAIN REASON YOU WERE NOT;
pedwlko,2,DID YOU LOOK FOR WORK AT ANY TIME;
pedwwk,2,DID YOU ACTUALLY WORK AT A JOB OR;
pedw4wk,2,DID YOU DO ANY OF THIS WORK DURING;
pedwlkwk,2,SINCE YOU LEFT THAT JOB OR;
pedwavl,2,"LAST WEEK, COULD YOU HAVE STARTED;"
pedwavr,2,WHY IS THAT?;
pudwck1,2,SCREEN FOR DISCOURAGED WORKERS;
pudwck2,2,SCREEN FOR DISABLED;
pudwck3,2,FILTER FOR RETIRED;
pudwck4,2,FILTER FOR PASSIVE JOB SEEKERS;
