series_id,start,end
HRHHID,1,15
HRMONTH,16,17
HRYEAR4,18,21
HURESPLI,22,23
HUFINAL,24,26
FILLER1,27,28
HETENURE,29,30
HEHOUSUT,31,32
HETELHHD,33,34
HETELAVL,35,36
HEPHONEO,37,38
HEFAMINC,39,40
HUTYPEA,41,42
HUTYPB,43,44
HUTYPC,45,46
HWHHWGT,47,56
HRINTSTA,57,58
HRNUMHOU,59,60
HRHTYPE,61,62
HRMIS,63,64
HUINTTYP,65,66
HUPRSCNT,67,68
HRLONGLK,69,70
HRHHID2,71,75
HWHHWTLN,76,77
FILLER2,78,78
HUBUS,79,80
HUBUSL1,81,82
HUBUSL2,83,84
HUBUSL3,85,86
HUBUSL4,87,88
GEREG,89,90
GEDIV,91,91
FILLER3,92,92
GESTFIPS,93,94
FILLER4,95,95
GTCBSA,96,100
GTCO,101,103
GTCBSAST,104,104
GTMETSTA,105,105
GTINDVPC,106,106
GTCBSASZ,107,107
GTCSA,108,110
FILLER5,111,113
FILLER6,114,117
PERRP,118,119
PEPARENT,120,121
PRTAGE,122,123
PRTFAGE,124,124
PEMARITL,125,126
PESPOUSE,127,128
PESEX,129,130
PEAFEVER,131,132
FILLER7,133,134
PEAFNOW,135,136
PEEDUCA,137,138
PTDTRACE,139,140
PRDTHSP,141,142
PUCHINHH,143,144
FILLER8,145,146
PULINENO,147,148
FILLER9,149,150
PRFAMNUM,151,152
PRFAMREL,153,154
PRFAMTYP,155,156
PEHSPNON,157,158
PRMARSTA,159,160
PRPERTYP,161,162
PENATVTY,163,165
PEMNTVTY,166,168
PEFNTVTY,169,171
PRCITSHP,172,173
PRCITFLG,174,175
PRINUSYR,176,177
PUSLFPRX,178,179
PEMLR,180,181
PUWK,182,183
PUBUS1,184,185
PUBUS2OT,186,187
PUBUSCK1,188,189
PUBUSCK2,190,191
PUBUSCK3,192,193
PUBUSCK4,194,195
PURETOT,196,197
PUDIS,198,199
PERET1,200,201
PUDIS1,202,203
PUDIS2,204,205
PUABSOT,206,207
PULAY,208,209
PEABSRSN,210,211
PEABSPDO,212,213
PEMJOT,214,215
PEMJNUM,216,217
PEHRUSL1,218,219
PEHRUSL2,220,221
PEHRFTPT,222,223
PEHRUSLT,224,226
PEHRWANT,227,228
PEHRRSN1,229,230
PEHRRSN2,231,232
PEHRRSN3,233,234
PUHROFF1,235,236
PUHROFF2,237,238
PUHROT1,239,240
PUHROT2,241,242
PEHRACT1,243,244
PEHRACT2,245,246
PEHRACTT,247,249
PEHRAVL,250,251
FILLER10,252,256
PUHRCK1,257,258
PUHRCK2,259,260
PUHRCK3,261,262
PUHRCK4,263,264
PUHRCK5,265,266
PUHRCK6,267,268
PUHRCK7,269,270
PUHRCK12,271,272
PULAYDT,273,274
PULAY6M,275,276
PELAYAVL,277,278
PULAYAVR,279,280
PELAYLK,281,282
PELAYDUR,283,285
PELAYFTO,286,287
PULAYCK1,288,289
PULAYCK2,290,291
PULAYCK3,292,293
PULK,294,295
PELKM1,296,297
PULKM2,298,299
PULKM3,300,301
PULKM4,302,303
PULKM5,304,305
PULKM6,306,307
PULKDK1,308,309
PULKDK2,310,311
PULKDK3,312,313
PULKDK4,314,315
PULKDK5,316,317
PULKDK6,318,319
PULKPS1,320,321
PULKPS2,322,323
PULKPS3,324,325
PULKPS4,326,327
PULKPS5,328,329
PULKPS6,330,331
PELKAVL,332,333
PULKAVR,334,335
PELKLL1O,336,337
PELKLL2O,338,339
PELKLWO,340,341
